Time,Value,Amount From,Token From,Amount To,Token To,Transaction Hash,Status
1h,$0.0001,"0.001500",SOL,"0.001114",SOL,66BHW8kLrjHaQ75XZi2ZDhYdqAHvX4qZVEjUevGuaGacEEZHcTjkJcS2RXFmCiVBxAgaq7ThTt1VL9Wd1T4UokD8,Success
1h,$0.0000,"0.002074",SOL,"N/A",Unknown,3dmw2qKoMizNpBTqC6gyvLvqibycYCCA3eAs4qzkD6ch9FQ7LcQx5VMFuuxTXWhis982DsMbzNtA2dN5S29UP3J4,Success
1h,$0.0001,"0.001500",SOL,"0.002835",SOL,2BPnQAPFDMBEADJJSQx6whjRbynfKrteoygKigru4vMibed6Cvmk2LDtpyygru4eXNDpevLvwaJhJ28gFFPcAZ3z,Success
1h,$0.0019,"0.006600",SOL,"0.002164",SOL,2ertWhWDaQ8nDCgXqaSjeFr6vKavhDPeH2ze6P48SBcLeNNLHDSaDju5MEdrzbZziZRiQmq6XNYJTY6uqPYwWRuQ,Success
1h,$0.0019,"0.000910",SOL,"0.001140",SOL,iE1rzKWSQ97WGKKv2bx722pNDTL4uzuKjxrxdTbi5V2vuUpP4uvKRw9P8UeF4VeJTjqFiFVf6rqquzQoCjhriAP,Success
1h,$0.0081,"0.024211",SOL,"0.001958",SOL,211FHjyRk5D66DK9T6ivkdKrP4YjHaEiVwbwwyhhngtWFs8RR7yHnPcjNdMDwYLuXBkcagE6Lb9BobohRt4WzYna,Success
1h,$0.0158,"0.040184",SOL,"N/A",Unknown,23q4jHMX87Sh6c56TPtVeADceLcVM3gJjRekhK6pnTatZEbXXozkwufYJL6BePGbtSjt3y91y63ZBTBUWGQfLpeM,Failed
1h,$0.0051,"0.015187",SOL,"0.001035",SOL,4uv7RfMVQ58FbnrnbjJeDcwG6wpXqvzJoWAYqRJSyzhUmYiArNevQAmM7RcvdY8gNENpx9Pi5bxng71SYirEpxMz,Success
1h,$0.0008,"0.003500",SOL,"0.001108",SOL,4Q4jEyCoBJ1WdobuqA3x5So1mMe9vuwbVwkKPdAyZ7G4M9j1KU3Dj2hZTGehdLpB9CH5Zrn7osT5wGdGWVNAyqBK,Success
1h,$0.0093,"0.023646",SOL,"0.002827",SOL,5guVcLktcUJBfvJ6xyCRmyiDwhBJaGm1wbYvXs1HdZBEYPH8S6r1JiqxeUugEK2QRA49jWFYww5VCuCUBDcXDfgz,Success
1h,$0.0058,"0.010810",SOL,"N/A",Unknown,5a9mJ3VthJne6AiE5jtLPXLRLCCe6AgRgw7MDjQaAirgR4fZ3tYr1jaqeP6Rr2EA1BGaXrgG1ebL8RnCWY3fkFeV,Failed
